hour,p_import_kw,p_export_kw,p_bess_c_kw,p_bess_d_kw,soc_bess_kwh,p_chp_e_kw,p_chp_h_kw,u_chp,p_hp_kw,soc_th_kwh,p_pv_kw
0,13.500999738525138,0.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,36.425754628221014,0.457075619631647
1,92.88274637655203,80.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,30.383225231273038,0.0
2,13.197020980290862,-0.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,20.104964122038474,1.1256767937096859
3,13.148672496159726,0.0,0.0,0.0,50.0,-7.993605777301127e-15,-1.5987211554602254e-14,0.0,20.0,8.856356594845595,1.4108470745868207
4,0.0,0.0,0.0,0.0,50.0,12.839029582216256,25.67805916443251,1.0,20.0,27.118029768786357,0.0
5,0.0,0.16012732105510483,0.0,0.0,50.0,16.080716228445564,32.16143245689113,1.0,20.0,53.659063186477844,0.0
6,23.491492431007465,0.0,0.0,0.0,50.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,20.000000000000007,49.97082555989773,0.19176060475092804
7,26.56973995814989,0.0,0.0,0.0,50.0,1.7763568394002505e-15,3.552713678800501e-15,0.0,20.0,50.506027381809005,6.109249961463544
8,20.048387793189043,0.0,0.0,0.0,50.0,-4.440892098500626e-15,-8.881784197001252e-15,0.0,20.0,53.50621840430996,17.65246779340725
9,0.0,0.0,0.0,3.7990853246494614,46.00096281615846,5.329070518200751e-15,1.0658141036401503e-14,0.0,19.999999999999954,58.20383357103995,28.45061198370765
10,0.0,17.329367727432874,0.0,0.0,46.00096281615846,5.329070518200751e-15,1.0658141036401503e-14,0.0,20.0,60.243489250625906,41.61546940567706
11,0.0,31.035035221841518,0.0,0.0,46.00096281615846,0.0,0.0,0.0,20.0,59.58860672372734,48.6330197872652
12,0.0,35.558864110450614,0.0,0.0,46.00096281615846,-3.552713678800501e-15,-7.105427357601002e-15,0.0,20.0,55.83740696144769,50.099046046341826
13,0.0,34.003973069836654,0.0,0.0,46.00096281615846,1.7763568394002505e-15,3.552713678800501e-15,0.0,20.0,47.45614173594751,49.15719369457383
14,0.0,25.143814820667586,0.0,0.0,46.00096281615846,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,20.0,37.09106996481843,40.997636456760894
15,0.0,10.000528160040812,0.0,0.0,46.00096281615846,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,20.0,27.122611782116973,28.44123918074317
16,8.764605310165797,0.0,0.0,0.0,46.00096281615846,0.0,0.0,0.0,20.0,17.253093312417093,18.230795705787433
17,44.915239767142324,0.0,0.0,0.0,46.00096281615846,2.6645352591003757e-15,5.329070518200751e-15,0.0,20.0,11.521025786914846,5.145289948735429
18,58.54730617465555,0.0,0.0,23.389232369936828,21.380718216224963,1.7763568394002505e-15,3.552713678800501e-15,0.0,20.0,8.0,1.3176754519609089
19,95.96007971491723,0.0,0.0,0.0,21.380718216224963,0.0,0.0,0.0,18.86506668011238,8.0,0.0
20,100.0,0.0,0.0,10.811682305413715,10.0,0.0,0.0,0.0,15.998433344425976,8.0,0.0
21,77.91970294056489,0.0,0.0,-0.0,10.0,0.0,0.0,0.0,14.547163410036452,8.0,0.0
22,50.035264164109265,0.0,0.0,-0.0,10.0,0.0,0.0,0.0,17.265096676423333,8.0,1.8338120080110454
23,23.288138252666116,0.0,0.0,0.0,10.0,0.0,0.0,0.0,18.77092346613808,8.0,0.0
