hour,p_import_kw,p_export_kw,p_bess_c_kw,p_bess_d_kw,soc_bess_kwh,p_chp_e_kw,p_hp_kw,u_chp
0,47.68728942412017,34.666666666666664,0.0,0.0,50.0,-2.9605947323337506e-16,20.0,0.0
1,82.24510790717132,69.33333333333333,0.2768807283104282,0.0,50.263036691894904,5.921189464667501e-17,20.0,0.0
2,13.202958124030712,0.0,0.0,0.0,50.263036691894904,0.0,20.0,-0.0
3,0.8066451465529885,0.1769269347148848,0.0,0.0,50.263036691894904,12.514091455869423,20.0,1.0
4,8.52727853370476,9.05139676862466,0.0,0.0,50.263036691894904,13.426624773872412,20.0,1.0
5,18.56115471801103,2.6666666666666665,0.0,0.0,50.263036691894904,3.552713678800501e-16,20.0,0.0
6,23.662063391682555,0.0,0.0,0.0,50.263036691894904,1.1842378929335003e-16,20.0,0.0
7,26.70726995645366,0.0,0.0,0.0,50.263036691894904,0.0,20.0,0.0
8,12.685831755943175,0.0,0.0,7.115024720846708,42.77353698574047,1.1842378929335003e-16,17.784573254725633,0.0
9,2.567354719366509,1.1172260039124202,0.0,2.5897378789805305,40.04749711312938,-2.3684757858670006e-16,18.6122955950099,-0.0
10,0.0,17.46985676439051,0.0,0.0,40.04749711312938,2.9605947323337506e-16,20.0,-0.0
11,0.0,32.4164142943708,0.0,0.0,40.04749711312938,-2.9605947323337506e-16,20.0,0.0
12,0.0,37.17273986363394,0.0,0.0,40.04749711312938,-2.9605947323337506e-16,20.0,0.0
13,0.0,34.665547496939105,0.0,0.0,40.04749711312938,0.0,20.0,0.0
14,0.0,24.437995591802167,0.0,0.0,40.04749711312938,-3.552713678800501e-16,20.0,0.0
15,0.0,9.666496028745332,0.0,0.0,40.04749711312938,-5.921189464667501e-17,20.0,0.0
16,8.004421529543363,0.0026404025794090438,0.0,0.25545210328211543,39.778600162306105,8.881784197001253e-17,20.0,0.0
17,26.448344877429683,0.0,0.0,0.4031766254246944,39.35420371449064,13.60229215280429,6.598657604683072,1.0
18,45.090490647548904,0.0,0.0,9.470083002195095,29.385695291127384,22.99692959702571,2.526488527239736,1.0
19,84.50172371224657,0.0,0.0,5.75825834136914,23.324370721265137,-1.5691152081368879e-15,1.9175747306785482,-0.0
20,95.1021117264453,0.0,0.0,12.658152185201876,10.0,-2.2500519965736505e-15,1.5836808578512476,0.0
21,77.52654313299621,0.0,0.0,0.0,10.0,-7.401486830834377e-17,14.861954923785797,0.0
22,50.158754430414746,0.0,0.0,0.0,10.0,1.4802973661668754e-17,16.828526139014404,0.0
23,46.66220918427494,23.076191209301108,0.0,0.0,10.0,0.0,17.965303679710182,0.0
